,l1_ratio,alpha,max_iter,n_samples,n_features,time
0,0.304082638,0.0001,417,1089,327,0.409987211
1,0.72774418,0.001,578,790,373,3.950952768
2,0.745885422,0.01,588,428,1198,0.368701935
3,0.474605082,0.001,829,877,313,1.00455904
4,0.395049437,0.001,167,216,644,0.802800179
5,0.358837496,0.001,986,1396,861,7.916113138
6,0.758565384,0.0001,929,908,691,2.206062078
7,0.282840611,0.0001,422,677,737,2.407142639
8,0.766175888,0.01,308,498,1191,1.002341032
9,0.249018493,0.001,510,1380,803,1.607144356
10,0.868099569,0.0001,479,1178,1047,0.905699253
11,0.574206129,0.0001,259,860,639,1.003841877
12,0.421956091,0.001,618,628,195,0.803386688
13,0.498461212,0.01,668,500,1370,1.2073915
14,0.65872421,0.0001,386,907,1090,1.507311583
15,0.193891725,0.0001,103,111,573,0.1017344
16,0.796022768,0.01,691,484,1276,1.564079523
17,0.63175043,0.01,719,103,209,0.603312254
18,0.431558588,0.001,265,646,1001,1.405600786
19,0.734566114,0.0001,365,1251,877,6.013842106
20,0.728533262,0.001,213,222,128,0.104153633
21,0.660038854,0.001,280,336,646,0.50413084
22,0.677498028,0.0001,213,859,562,0.603173494
23,0.184389982,0.01,306,704,611,0.308613777
24,0.501121654,0.0001,695,893,405,3.107063532
25,0.627662201,0.001,871,173,468,0.542533159
26,0.324578263,0.001,973,426,245,3.107123852
27,0.85619463,0.0001,763,584,130,0.302662849
28,0.247042603,0.001,130,1244,960,0.307452917
29,0.634387546,0.01,846,409,1243,2.706452608
30,0.851089074,0.001,362,1052,973,0.710374594
31,0.821664209,0.001,161,621,1037,0.403149605
32,0.654283855,0.0001,944,151,835,0.202348232
33,0.325769451,0.001,420,1058,607,3.708951235
34,0.797149359,0.001,794,826,327,0.803497791
35,0.415559571,0.001,639,418,768,2.906409979
36,0.740437099,0.01,735,1071,889,5.011070013
37,0.378960012,0.001,265,602,530,0.204308033
38,0.884007579,0.0001,944,1396,493,22.13564038
39,0.671603942,0.001,123,267,509,0.103012323
40,0.245255087,0.001,452,1194,1028,3.616493225
41,0.123018065,0.001,833,219,1309,3.208013535
42,0.667570778,0.001,976,1217,113,0.5041821
43,0.669810869,0.01,913,329,806,0.408014536
44,0.895219919,0.01,255,1064,627,0.503879786
45,0.31950425,0.001,420,1366,944,2.107222319
46,0.440556267,0.0001,480,1047,523,6.31253767
47,0.718741419,0.0001,335,952,1379,12.42343616
48,0.541496591,0.001,757,910,1059,25.18621421
49,0.449655784,0.0001,513,107,154,0.106933832
50,0.769557181,0.0001,769,1152,233,2.307451248
