,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
0,none,0.393691561,0.0001,260,719,8,888,693,6,5,7,0.054887731,88.25326506,0.306372881
1,elasticnet,0.654140602,0.01,586,172,2,210,159,10,3,10,0.079540625,9.841284021,0.903029442
2,elasticnet,0.851019713,0.01,518,426,1,788,531,7,4,8,0.053866664,69.56824661,10.45346427
3,none,0.853369146,0.0001,893,401,1,181,204,4,2,7,0.041888281,53.84315843,0.184301615
4,elasticnet,0.484962951,0.01,400,894,8,561,323,9,5,12,0.06466513,82.30042,1.106037617
5,elasticnet,0.623859311,0.0001,967,424,4,137,127,2,2,9,0.071252996,42.54744151,0.121942997
6,none,0.764075318,0.001,924,136,8,747,108,5,4,11,0.030319497,35.62536198,0.202924252
7,l1,0.40891194,0.01,922,962,2,789,665,5,4,8,0.026960084,60.22757765,8.514936924
8,none,0.76594493,0.001,243,78,8,810,394,3,2,6,0.02115497,86.05302449,0.204643488
9,elasticnet,0.505390613,0.001,626,764,2,121,774,7,5,8,0.030256404,70.83449353,1.804525852
10,l1,0.852557117,0.0001,129,25,8,678,992,8,5,11,0.081039939,6.010267088,0.705250263
11,elasticnet,0.814504883,0.0001,187,786,1,966,870,4,3,10,0.088464481,77.25555936,4.389688969
12,elasticnet,0.812289292,0.01,489,439,1,106,284,9,2,11,0.0482787,74.3307787,0.923078537
13,l2,0.791234355,0.0001,600,892,1,238,448,7,4,10,0.037345398,36.73283546,0.57955265
14,elasticnet,0.362891491,0.01,842,824,2,322,743,9,4,11,0.02532423,64.02981125,7.1125319
15,elasticnet,0.652986749,0.0001,256,602,-1,346,578,9,4,10,0.086755539,97.55073584,0.608022928
16,l1,0.726554626,0.0001,388,160,4,647,222,10,4,10,0.039594321,93.53744684,1.504570723
17,elasticnet,0.690781305,0.0001,729,505,1,911,446,3,3,8,0.040182869,80.60855412,6.227297068
18,none,0.261344837,0.0001,425,736,8,842,727,4,3,9,0.096917402,12.88173789,0.404925346
19,l1,0.526329307,0.0001,921,794,1,865,280,8,3,7,0.045133373,5.406030417,9.873707294
20,elasticnet,0.434546357,0.0001,956,537,-1,861,632,6,4,7,0.098053635,49.74358203,4.414455891
21,elasticnet,0.443292745,0.0001,727,941,8,686,647,7,4,8,0.097168993,56.63515789,2.708076715
22,l1,0.216097894,0.001,328,34,1,538,364,2,3,9,0.010718759,20.04364508,0.37803936
23,elasticnet,0.376957403,0.0001,106,623,2,590,292,8,3,10,0.061292214,81.64149307,0.702893019
24,l1,0.71004121,0.01,951,557,1,402,736,7,2,9,0.013758687,96.34849936,10.65456462
25,l1,0.444241899,0.001,983,961,2,770,799,9,5,9,0.032214484,90.03592407,18.02880454
26,elasticnet,0.781512057,0.001,936,994,8,639,114,2,4,10,0.028970759,50.54687237,0.560347319
27,l1,0.353024849,0.01,867,540,8,851,154,10,4,11,0.039068447,56.08652786,2.007802963
28,elasticnet,0.337748475,0.001,385,786,4,722,649,8,3,9,0.061489665,42.21558822,2.907473803
29,l1,0.190945599,0.01,828,212,1,886,596,10,5,10,0.086496793,83.11395913,25.18862081
30,none,0.370855272,0.0001,768,811,2,790,197,5,5,8,0.090405148,54.11185302,0.904007435
31,elasticnet,0.466567601,0.0001,282,731,2,641,431,3,5,6,0.046222422,99.92001537,1.203763962
32,elasticnet,0.347668069,0.01,160,311,8,715,598,9,5,11,0.070977926,8.369958234,0.905188084
33,l2,0.86560253,0.001,177,633,2,742,660,7,4,11,0.092829223,72.7361387,0.503231764
34,l2,0.490908062,0.0001,338,998,-1,755,473,10,2,10,0.079179553,11.39611767,0.308696508
35,none,0.855828815,0.001,482,541,1,184,155,6,4,11,0.043385558,61.75271373,0.120200634
36,l1,0.763824285,0.0001,363,88,8,553,292,4,4,8,0.009170043,88.1349722,0.503915548
37,none,0.765380123,0.01,666,689,4,896,115,4,2,10,0.065125422,93.12742016,0.302818775
38,l2,0.622718372,0.01,407,716,-1,989,888,5,3,10,0.099785894,4.079502005,0.507683277
39,none,0.607868243,0.0001,669,89,1,520,100,8,5,8,0.033917804,74.19932455,0.601781607
40,l1,0.155668845,0.001,561,805,4,289,816,7,2,9,0.026488248,81.95064715,1.604728937
41,elasticnet,0.682849566,0.01,973,558,4,428,784,3,4,9,0.040863712,89.92920771,2.50663662
42,l1,0.767767852,0.001,484,75,4,881,381,3,3,6,0.016455827,79.16094835,1.30506134
43,l1,0.318032818,0.01,573,788,-1,975,476,3,3,10,0.044214675,49.05092205,1.911247015
44,none,0.210112381,0.01,842,974,4,465,312,7,5,12,0.066714678,61.24440489,0.40333271
45,none,0.539103313,0.001,538,257,1,222,573,7,5,9,0.048592084,82.96981818,0.605585098
46,l2,0.424962749,0.001,962,855,4,410,826,4,2,8,0.021471155,58.30413415,0.503243208
47,none,0.821472142,0.0001,494,872,-1,763,373,5,5,11,0.052227604,4.157056495,0.307858944
48,elasticnet,0.716062945,0.0001,673,97,-1,174,735,10,2,11,0.006995583,8.421773624,1.008832455
49,l1,0.181250475,0.001,345,982,1,583,292,6,3,7,0.093655024,78.03622632,1.98468852
50,l1,0.762343926,0.001,862,236,2,762,803,6,4,10,0.050129996,83.93326823,9.717679977
51,l1,0.170005763,0.001,938,66,-1,755,438,8,2,9,0.082599273,7.371330989,2.313283205
52,l2,0.116443698,0.0001,699,737,8,895,258,4,5,11,0.013566095,39.0503716,0.403955936
53,elasticnet,0.86757218,0.001,289,955,1,387,463,3,3,10,0.064032308,61.81194678,1.081496
54,none,0.826926289,0.0001,231,222,-1,679,161,6,4,10,0.075640575,29.1847923,0.107345581
55,l1,0.708159138,0.0001,414,444,8,258,200,10,5,11,0.022624616,77.70037663,0.403703451
56,elasticnet,0.573378652,0.01,535,751,2,354,918,3,3,8,0.073691059,22.09962825,2.305451632
57,elasticnet,0.302977597,0.001,387,656,4,431,584,10,5,9,0.08819041,94.58939051,2.306722164
58,l1,0.82627067,0.0001,629,843,4,984,596,9,5,11,0.080977064,46.93922232,6.613850355
59,l2,0.303580746,0.001,680,986,8,888,604,3,3,10,0.042464922,27.6052693,0.504662037
60,l1,0.677180983,0.0001,360,720,8,705,680,5,5,10,0.085661086,66.67764714,1.2056427
61,elasticnet,0.526873215,0.001,719,632,1,450,445,8,5,12,0.038146075,94.1111456,7.996671915
62,l2,0.804393402,0.0001,135,586,4,979,565,3,3,8,0.050924044,40.62947484,0.204225779
63,elasticnet,0.578012367,0.0001,409,746,8,406,310,5,3,8,0.045152919,4.747668788,0.503960609
